English;Swedish;Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
abound;finnas i överflöd;0;0;0;0;0;0;0;0;0;0
abovementioned;ovan nämnda;1;0;0;0;0;0;0;0;0;0
abrasion;abrasion;0;1;0;0;0;0;0;0;0;0
abroad;utomlands;0;0;0;0;0;0;0;0;0;0
abrogate;avskaffa;0;1;0;0;0;0;0;0;0;0
abrupt;abrupt;0;0;0;0;0;0;0;0;1;0
abruptly;tvärt;0;0;0;0;0;0;0;0;0;0
abscess;abscess;0;1;0;0;0;0;0;1;0;0
absence;frånvaro;0;1;0;0;0;1;0;1;0;0
absent;frånvarande;0;1;0;0;0;0;0;1;0;0
absentee;frånvarande;0;1;0;0;0;0;0;1;0;0
absenteeism;skolk;0;1;0;0;0;0;0;0;0;0
absinthe;absint;0;0;0;0;0;0;0;0;0;0
absolute;absolut;1;0;0;0;0;0;0;0;0;0
absolution;absolution;1;0;0;0;0;0;1;0;0;1
absorbed;absorberad;1;0;0;0;0;0;0;0;0;0
absorbent;absorberande;0;0;0;0;0;0;0;0;0;0
absorbing;absorberande;0;0;0;0;0;0;0;0;0;0
absorption;absorption;0;0;0;0;0;0;0;0;0;0
abstain;avstå;0;0;0;0;0;0;0;0;0;0
abstention;röstnedläggelse;0;0;0;0;0;0;0;0;0;0
abstinence;nykterhet;0;0;0;0;0;0;0;0;0;0
abstract;abstrakt;0;0;0;0;0;0;0;0;0;0
abstraction;abstraktion;0;0;0;0;0;0;0;0;0;0
absurd;absurd;0;1;0;0;0;0;0;0;0;0
absurdity;absurditet;0;1;0;0;0;0;0;0;0;0
abundance;överflöd;1;1;0;1;1;0;1;0;0;1
abundant;riklig;1;0;0;0;0;0;1;0;0;0
abuse;missbruk;0;1;1;0;1;1;0;1;0;0
abutment;anliggning;0;0;0;0;0;0;0;0;0;0
aby;Aby;0;0;0;0;0;0;0;0;0;0
abysmal;bottenlös;0;1;0;0;0;0;0;1;0;0
abyss;avgrund;0;1;0;0;0;1;0;1;0;0
academic;akademisk;1;0;0;0;0;0;0;0;0;1
academy;akademi;1;0;0;0;0;0;0;0;0;0
accede;ansluta;0;0;0;0;0;0;0;0;0;0
accelerate;accelerera;0;0;0;1;0;0;0;0;0;0
acceleration;acceleration;0;0;0;0;0;0;0;0;0;0
accent;accent;0;0;0;0;0;0;0;0;0;0
accentuate;accentuera;0;0;0;0;0;0;0;0;0;0
accept;acceptera;0;0;0;0;0;0;0;0;0;0
acceptable;godtagbar;1;0;0;0;0;0;0;0;0;0
acceptance;godkännande;1;0;0;0;0;0;0;0;0;0
access;tillträde;0;0;0;0;0;0;0;0;0;0
accessible;tillgänglig;1;0;0;0;0;0;0;0;0;0
accession;anslutning;0;0;0;0;0;0;0;0;0;0
accessory;åtföljande;0;0;0;0;0;0;0;0;0;0
accident;olycka;0;1;0;0;0;1;0;1;1;0
accidental;tillfällig;0;1;0;0;0;1;0;0;1;0
accidentally;oavsiktligt;0;0;0;0;0;0;0;0;1;0
accolade;ära;1;0;0;1;0;0;1;0;1;1
accommodate;rymma;0;0;0;0;0;0;0;0;0;0
accommodation;logi;1;0;0;0;0;0;0;0;0;0
accompaniment;ackompanjemang;1;0;0;1;0;0;1;0;0;1
accompany;följa;0;0;0;0;0;0;0;0;0;0
accompanying;medföljande;0;0;0;0;0;0;0;0;0;0
accomplice;medbrottsling;0;0;0;0;0;0;0;0;0;0
accomplish;utföra;1;0;0;0;0;0;1;0;0;0
accomplished;skicklig;1;0;0;0;0;0;1;0;0;0
accomplishment;prestation;1;0;0;0;0;0;0;0;0;0
accord;bevilja;1;0;0;0;0;0;0;0;0;1
accordance;överensstämmelse;0;0;0;0;0;0;0;0;0;0
accordion;dragspel;0;0;0;0;0;0;0;0;0;0
account;konto;0;0;0;0;0;0;0;0;0;1
accountability;ansvarighet;1;0;0;0;0;0;0;0;0;1
accountable;ansvarig;1;0;0;0;0;0;0;0;0;1
accountant;revisor;0;0;0;0;0;0;0;0;0;1
accounting;bokföring;0;0;0;0;0;0;0;0;0;0
accounts;konton;0;0;0;0;0;0;0;0;0;1
accredited;ackrediterad;1;0;0;0;0;0;0;0;0;1
accretion;anhopning;0;0;0;0;0;0;0;0;0;0
accrue;falla;0;0;0;0;0;0;0;0;0;0
accueil;accueil;1;0;0;0;0;0;0;0;0;0
accumulate;ackumulera;0;0;0;0;0;0;0;0;0;0
accumulation;ackumulation;0;0;0;0;0;0;0;0;0;0
accuracy;noggrannhet;0;0;0;0;0;0;0;0;0;0
accurate;exakt;1;0;0;0;0;0;0;0;0;1
accursed;förbannad;0;1;1;0;0;1;0;1;0;0
accusation;anklagelse;0;1;1;0;1;0;0;0;0;0
accusative;ackusativ;0;1;0;0;0;0;0;0;0;0
accused;den anklagade;0;1;1;0;0;1;0;0;0;0
accuser;åklagare;0;1;1;0;0;1;0;0;0;0
accusing;anklagar;0;1;1;0;0;1;0;0;0;0
accustomed;van;0;0;0;0;0;0;0;0;0;0
ace;ess;1;0;0;0;0;0;0;0;0;0
acetic;ättiksyra;0;0;0;0;0;0;0;0;0;0
ache;värk;0;1;0;0;0;0;0;1;0;0
achieve;uppnå;1;0;0;0;0;0;1;0;0;1
achievement;prestation;1;0;0;1;0;0;1;0;0;1
aching;värk;0;1;0;0;0;0;0;1;0;0
acid;syra;0;1;0;0;0;0;0;0;0;0
acidity;aciditet;0;0;0;0;0;0;0;0;0;0
acknowledge;erkänna;0;0;0;0;0;0;0;0;0;0
acknowledged;erkänd;0;0;0;0;0;0;0;0;0;0
acknowledgment;bekräftelse;1;0;0;0;0;0;0;0;0;0
acme;höjdpunkt;0;0;0;0;0;0;0;0;0;0
acoustic;akustisk;0;0;0;0;0;0;0;0;0;0
acoustics;akustik;0;0;0;0;0;0;0;0;0;0
acquaint;bekanta;0;0;0;0;0;0;0;0;0;0
acquaintance;bekantskap;0;0;0;0;0;0;0;0;0;0
acquainted;bekant;0;0;0;0;0;0;0;0;0;0
acquiescence;samtycke;0;0;0;0;0;0;0;0;0;0
acquire;förvärva;1;0;0;0;0;0;0;0;0;0
acquiring;förvärvande;1;0;0;1;0;0;0;0;0;0
acquisition;förvärv;0;0;0;0;0;0;0;0;0;0
acquisitions;förvärv;0;0;0;0;0;0;0;0;0;0
acreage;areal;0;0;0;0;0;0;0;0;0;0
acres;tunnland;0;0;0;0;0;0;0;0;0;0
acrobat;akrobat;1;0;0;0;0;1;1;0;0;1
act;agera;0;0;0;0;0;0;0;0;0;0
acting;verkande;0;0;0;0;0;0;0;0;0;0
action;handling;1;0;0;0;0;0;0;0;0;0
actionable;angripbara;0;1;1;0;1;0;0;0;0;0
active;aktiv;0;0;0;0;0;0;0;0;0;0
activity;aktivitet;0;0;0;0;0;0;0;0;0;0
actor;skådespelare;0;0;0;0;0;0;0;0;0;0
actual;faktisk;1;0;0;0;0;0;0;0;0;0
actuality;verklighet;0;0;0;0;0;0;0;0;0;0
actuary;aktuarie;0;0;0;0;0;0;0;0;0;0
acuity;skärpa;1;0;0;0;0;0;0;0;0;0
acumen;mannaskap;1;0;0;0;0;0;0;0;0;0
acupuncture;akupunktur;0;0;0;0;0;0;0;0;0;0
acutely;akut;0;0;0;0;0;0;0;0;0;0
adage;ordspråk;0;0;0;0;0;0;0;0;0;0
adamant;orubblig;0;0;0;0;0;0;0;0;0;0
adapt;anpassa;1;0;0;0;0;0;0;0;0;0
adaptable;anpassbar;1;0;0;0;0;0;0;0;0;0
add;tillägga;0;0;0;0;0;0;0;0;0;0
added;tillsatt;0;0;0;0;0;0;0;0;0;0
addendum;tillägg;0;0;0;0;0;0;0;0;0;0
adder;huggorm;0;1;1;0;1;1;0;1;0;0
addiction;missbruk;0;1;0;0;0;0;0;0;0;0
addition;tillägg;0;0;0;0;0;0;0;0;0;0
additional;ytterligare;0;0;0;0;0;0;0;0;0;0
additive;tillsats;0;0;0;0;0;0;0;0;0;0
address;adress;0;0;0;0;0;0;0;0;0;0
addressee;adressat;0;0;0;0;0;0;0;0;0;0
addresses;adresser;1;0;0;1;0;0;0;0;0;0
adept;skicklig;1;0;0;0;0;0;0;0;0;0
adequacy;lämplighet;1;0;0;0;0;0;0;0;0;0
adequate;tillräcklig;0;0;0;0;0;0;0;0;0;0
adhere;vidhäfta;0;0;0;0;0;0;0;0;0;0
adherence;efterlevnad;0;0;0;0;0;0;0;0;0;0
adherent;anhängare;0;0;0;0;0;0;0;0;0;0
adhering;vidhäftning;0;0;0;0;0;0;0;0;0;1
adhesion;adhesion;0;0;0;0;0;0;0;0;0;0
adhesive;lim;0;0;0;0;0;0;0;0;0;0
adieu;adjö;0;0;0;0;0;0;0;0;0;0
adipose;adipös;0;1;0;0;0;0;0;0;0;0
adjacency;närbelägenhet;0;0;0;0;0;0;0;0;0;0
adjacent;intilliggande;0;0;0;0;0;0;0;0;0;0
adjective;adjektiv;0;0;0;0;0;0;0;0;0;0
adjoining;angränsande;0;0;0;0;0;0;0;0;0;0
adjourn;ajournera;0;0;0;0;0;0;0;0;0;0
adjournment;uppskov;0;0;0;0;0;0;0;0;0;0
adjudicate;döma;0;1;0;0;0;1;0;0;0;0
adjudication;prövning;0;0;0;0;0;0;0;0;0;0
adjunct;komplement;1;0;0;0;0;0;0;0;0;0
adjust;anpassa sig;0;0;0;0;0;0;0;0;0;0
adjustment;justering;0;0;0;0;0;0;0;0;0;0
adjuvant;adjuvans;0;0;0;0;0;0;0;0;0;0
administer;administrera;0;0;0;0;0;0;0;0;0;0
administration;administrering;0;0;0;0;0;0;0;0;0;0
administrative;administrativ;0;0;0;0;0;0;0;0;0;1
admirable;beundransvärd;1;0;0;0;0;0;1;0;0;1
admiral;amiral;1;0;0;0;0;0;0;0;0;1
admiralty;amira;0;0;0;0;0;0;0;0;0;0
admiration;beundran;1;0;0;0;0;0;1;0;0;1
admire;beundra;1;0;0;0;0;0;0;0;0;1
admirer;beundrare;1;0;0;0;0;0;0;0;0;0
admissibility;tillåtlighet;0;0;0;0;0;0;0;0;0;0
admissible;tillåtlig;1;0;0;0;0;0;0;0;0;1
admission;tillträde;0;0;0;0;0;0;0;0;0;0
admit;erkänna;0;0;0;0;0;0;0;0;0;0
admittance;tillträde;0;0;0;0;0;0;0;0;0;0
admitted;medgav;0;0;0;0;0;0;0;0;0;0
admitting;släppa in;0;0;0;0;0;0;0;0;0;0
admixture;blandning;0;0;0;0;0;0;0;0;0;0
admonition;förmaning;0;1;0;0;0;1;0;0;0;0
ado;väsen;0;0;0;0;0;0;0;0;0;0
adobe;Adobe;0;0;0;0;0;0;0;0;0;0
adolescence;ungdom;0;0;0;0;0;0;0;0;0;0
adolescent;tonåring;0;0;0;0;0;0;0;0;0;0
adopt;anta;0;0;0;0;0;0;0;0;0;0
adoption;adoption;0;0;0;0;0;0;0;0;0;0
adorable;förtjusande;1;0;0;0;0;0;1;0;0;0
adoration;tillbedjan;1;0;0;0;0;0;1;0;0;1
adore;älska;1;0;0;1;0;0;1;0;0;1
adorn;smycka;0;0;0;0;0;0;0;0;0;0
adornment;prydnad;0;0;0;0;0;0;0;0;0;0
adrift;på drift;0;1;0;1;0;1;0;1;0;0
adult;vuxen;0;0;0;0;0;0;0;0;0;0
adulterated;uppblandat;0;1;0;0;0;0;0;0;0;0
adultery;hor;0;1;0;0;1;0;0;1;0;0
advance;förskott;1;0;0;1;0;1;1;0;1;0
advanced;avancerad;1;0;0;0;0;0;0;0;0;0
advancement;befordran;1;0;0;0;0;0;0;0;0;0
advancing;avancera;0;0;0;0;0;0;0;0;0;0
advantage;fördel;1;0;0;0;0;0;0;0;0;0
advantageous;fördelaktig;1;0;0;0;0;0;0;0;0;0
advent;Advent;1;0;0;1;0;0;1;0;0;1
adventure;äventyr;1;0;0;1;0;0;0;0;0;0
adventurer;äventyrare;0;0;0;0;0;0;0;0;0;0
adventurous;äventyrlig;1;0;0;0;0;0;0;0;0;0
adversary;motståndare;0;1;1;0;0;0;0;0;0;0
adverse;ogynnsam;0;1;1;0;1;1;0;1;0;0
adversity;motgång;0;1;1;0;0;1;0;1;0;0
advertise;annonsera;0;0;0;0;0;0;0;0;0;0
advertisement;annons;0;0;0;0;0;0;0;0;0;0
advice;råd;0;0;0;0;0;0;0;0;0;1
advisable;tillrådligt;1;0;0;0;0;0;0;0;0;1
advise;råda;1;0;0;0;0;0;0;0;0;1
advised;rådde;0;0;0;0;0;0;0;0;0;1
advisement;advisement;0;0;0;0;0;0;0;0;0;0
adviser;rådgivare;1;0;0;0;0;0;0;0;0;1
advocacy;försvar;1;0;1;1;0;0;1;0;0;1
advocate;förespråkare;0;0;0;0;0;0;0;0;0;1
aegis;ledning;0;0;0;0;0;0;0;0;0;0
aeration;luftning;0;0;0;0;0;0;0;0;0;0
aerial;antenn;0;0;0;0;0;0;0;0;0;0
aerodrome;flygplats;0;0;0;0;0;0;0;0;0;0
aerodynamics;aerodynamik;0;0;0;0;0;0;0;0;0;0
aeronautics;aeronautik;0;0;0;0;0;0;0;0;0;0
aeroplane;flygplan;0;0;0;0;0;0;0;0;0;0
aesthetic;estetisk;1;0;0;0;0;0;0;0;0;0
aesthetics;estetik;1;0;0;0;0;0;1;0;0;0
aetiology;etiologi;0;0;0;0;0;0;0;0;0;0
afar;fjärran;0;0;0;0;0;0;0;0;0;0
affable;förbindlig;1;0;0;0;0;0;0;0;0;0
affair;affär;0;0;0;0;0;0;0;0;0;0
affecting;påverkar;0;0;0;0;0;0;0;0;0;0
affection;tillgivenhet;1;0;0;0;0;0;1;0;0;1
affections;känslor;0;0;0;0;0;0;0;0;0;0
affiche;affiche;0;0;0;0;0;0;0;0;0;0
affidavit;affidavit;0;0;0;0;0;0;0;0;0;0
affiliated;ansluten;1;0;0;0;0;0;0;0;0;0
affiliation;anslutning;0;0;0;0;0;0;0;0;0;0
affinity;affinitet;0;0;0;0;0;0;0;0;0;0
affirm;bekräfta;1;0;0;0;0;0;0;0;0;1
affirmation;bekräftelse;1;0;0;0;0;0;0;0;0;0
affirmative;jakande;1;0;0;0;0;0;0;0;0;0
affirmatively;jakande;1;0;0;0;0;0;0;0;0;1
affix;affix;0;0;0;0;0;0;0;0;0;0
afflict;plåga;0;1;0;0;0;1;0;1;0;0
afflicted;drabbad;0;1;0;0;0;0;0;0;0;0
affliction;lidande;0;1;0;0;1;1;0;1;0;0
affluence;välstånd;1;0;0;0;0;0;1;0;0;0
affluent;rik;1;0;0;0;0;0;0;0;0;0
afford;bildning;1;0;0;0;0;0;0;0;0;0
affront;skymf;0;1;1;0;1;1;0;1;1;0
afield;ett fält;0;0;0;0;0;0;0;0;0;0
afore;afore;0;0;0;0;0;0;0;0;0;0
aforementioned;ovannämnda;0;0;0;0;0;0;0;0;0;0
aforesaid;ovannämnda;0;0;0;0;0;0;0;0;0;0
afraid;rädd;0;1;0;0;0;1;0;0;0;0
afresh;på nytt;0;0;0;0;0;0;0;0;0;0
aft;akter-;0;0;0;0;0;0;0;0;0;0
aftermath;efterdyningar;0;1;1;0;1;1;0;1;0;0
afternoon;eftermiddag;0;0;0;0;0;0;0;0;0;0
aftertaste;eftersmak;0;1;0;0;0;0;0;0;0;0
afterthought;eftertanke;0;0;0;0;0;0;0;0;0;0
aga;aga;1;0;0;0;0;1;0;0;0;1
agate;agat;0;0;0;0;0;0;0;0;0;0
age;ålder;0;0;0;0;0;0;0;0;0;0
aged;åldrig;0;0;0;0;0;0;0;0;0;0
agency;byrå;0;0;0;0;0;0;0;0;0;0
agent;ombud;0;0;0;0;0;0;0;0;0;0
agglomeration;agglomerering;0;0;0;0;0;0;0;0;0;0
aggravated;förvärras;0;1;1;0;0;0;0;0;0;0
aggravating;försvårande;0;1;1;0;0;0;0;1;0;0
aggravation;förvärrande;0;1;1;0;1;0;0;0;0;0
aggregate;aggregat;0;0;0;0;0;0;0;0;0;0
aggregation;aggregering;0;0;0;0;0;0;0;0;0;0
aggression;aggression;0;1;1;0;0;1;0;0;0;0
aggressive;aggressiv;0;1;1;0;0;1;0;0;0;0
aggressor;angripare;0;1;1;0;0;1;0;0;0;0
aghast;bestört;0;1;0;0;1;1;0;0;1;0
agile;vig;1;0;0;0;0;0;0;0;0;0
agility;rörlighet;1;0;0;0;0;0;0;0;0;0
agitated;agiterad;0;1;1;0;0;0;0;0;0;0
agitation;agitation;0;1;1;0;0;0;0;0;0;0
agnostic;agnostiker;0;0;0;0;0;0;0;0;0;0
ago;sedan;0;0;0;0;0;0;0;0;0;0
agonizing;plågsam;0;1;0;0;0;1;0;0;0;0
agony;vånda;0;1;1;0;0;1;0;1;0;0
agree;komma överens;1;0;0;0;0;0;0;0;0;0
agreeable;angenäm;1;0;0;0;0;0;0;0;0;1
agreed;enades;1;0;0;0;0;0;0;0;0;1
agreeing;överens;1;0;0;0;0;0;0;0;0;1
agreement;avtal;1;0;0;0;0;0;0;0;0;1
agricultural;jordbruks-;0;0;0;0;0;0;0;0;0;0
agriculture;lantbruk;1;0;0;0;0;0;0;0;0;0
aground;på grund;0;1;0;0;0;0;0;0;0;0
agua;agua;0;0;0;0;0;0;0;0;0;0
ahead;framåt;1;0;0;0;0;0;0;0;0;0
aid;hjälpa;1;0;0;0;0;0;0;0;0;0
aiding;medhjälp;1;0;0;0;0;0;0;0;0;0
ail;ail;0;1;0;0;0;0;0;1;0;0
ailing;sjuklig;0;1;0;0;0;1;0;1;0;0
ailment;sjukdom;0;0;0;0;0;0;0;0;0;0
aim;syfte;0;0;0;0;0;0;0;0;0;0
aimless;utan mål;0;1;0;0;0;0;0;0;0;0
air;luft;0;0;0;0;0;0;0;0;0;0
airbag;krockkudde;0;0;0;0;0;0;0;0;0;0
airlift;luftbro;0;0;0;0;0;0;0;0;0;0
airline;flygbolag;0;0;0;0;0;0;0;0;0;0
airman;flygare;0;0;0;0;0;0;0;0;0;0
airplane;flygplan;0;0;0;0;0;0;0;0;0;0
airport;flygplats;0;0;0;1;0;0;0;0;0;0
airs;förnäm min;0;1;0;0;1;0;0;0;0;0
airship;luftskepp;0;0;0;0;0;0;0;0;0;0
aisle;gång;0;0;0;0;0;0;0;0;0;0
ait;ait;0;0;0;0;0;0;0;0;0;0
ajar;på glänt;0;0;0;0;0;0;0;0;0;0
akin;besläktad;0;0;0;0;0;0;0;0;0;1
alabaster;alabaster;1;0;0;0;0;0;0;0;0;0
alarm;larm;0;1;0;0;0;1;0;0;1;0
alarming;oroväckande;0;1;0;0;0;1;0;0;1;0
alb;alba;0;0;0;0;0;0;0;0;0;1
album;album;0;0;0;0;0;0;0;0;0;0
alchemy;alkemi;0;0;0;0;0;0;0;0;0;0
alcohol;alkohol;0;0;0;0;0;0;0;0;0;0
alcoholism;alkoholism;0;1;1;0;1;1;0;1;0;0
alcove;alkov;0;0;0;0;0;0;0;0;0;0
alert;varna;0;0;0;0;0;0;0;0;0;0
alertness;vakenhet;1;0;0;1;0;1;0;0;1;0
alerts;registreringar;0;0;0;1;0;1;0;0;1;0
alfalfa;blålusern;0;0;0;0;0;0;0;0;0;0
algebra;algebra;0;0;0;0;0;0;0;0;0;0
algebraic;algebraisk;0;0;0;0;0;0;0;0;0;0
algorithm;algoritm;0;0;0;0;0;0;0;0;0;0
alibi;alibi;0;0;0;0;0;0;0;0;0;0
alien;främmande;0;1;0;0;1;1;0;0;0;0
alienate;fjärma;0;1;1;0;1;0;0;0;0;0
alienated;fjärmat;0;1;0;0;0;0;0;1;0;0
alienation;alienation;0;1;1;0;1;1;0;1;0;0
alight;stiga av;0;0;0;0;0;0;0;0;0;0
aligned;justerad;0;0;0;0;0;0;0;0;0;0
alignment;inriktning;0;0;0;0;0;0;0;0;0;0
alike;lika;0;0;0;0;0;0;0;0;0;0
alimentation;alimentation;1;0;0;0;0;0;0;0;0;0
alimony;underhållsbidrag;0;1;0;0;0;0;0;0;0;0
aliquot;alikvot;0;0;0;0;0;0;0;0;0;0
alive;Levande;1;0;0;1;0;0;1;0;0;1
alkali;alkali;0;0;0;0;0;0;0;0;0;0
alkaloids;alkaloider;0;0;0;0;0;0;0;0;0;0
allay;lugna;1;0;0;0;0;0;0;0;0;0
allegation;påstående;0;1;1;0;0;0;0;0;0;0
allege;påstå;0;1;0;0;0;0;0;0;0;0
alleged;påstådda;0;0;0;0;0;0;0;0;0;0
allegiance;trohet;1;0;0;0;0;0;0;0;0;1
allegorical;allegorisk;0;0;0;0;0;0;0;0;0;0
allegory;allegori;0;0;0;0;0;0;0;0;0;0
allegro;allegro;1;0;0;0;0;0;0;0;0;0
alleviate;lindra;1;0;0;0;0;0;0;0;0;0
alleviation;lindring;1;0;0;0;0;0;0;0;0;0
alley;gränd;0;0;0;0;0;0;0;0;0;0
alliance;allians;0;0;0;0;0;0;0;0;0;1
allied;allierad;1;0;0;0;0;0;0;0;0;1
alligator;alligator;0;0;0;0;0;0;0;0;0;0
allocate;fördela;0;0;0;0;0;0;0;0;0;0
allocation;tilldelning;0;0;0;0;0;0;0;0;0;0
allot;tilldela;0;0;0;0;0;0;0;0;0;0
allotment;tilldelning;0;0;0;0;0;0;0;0;0;0
allowable;tillåten;1;0;0;0;0;0;0;0;0;0
allowance;ersättning;0;0;0;0;0;0;0;0;0;0
allowed;tillåten;0;0;0;0;0;0;0;0;0;0
alloy;legering;0;0;0;0;0;0;0;0;0;0
allure;locka;1;0;0;1;0;0;1;0;1;0
alluring;lockande;1;0;0;0;0;0;0;0;0;0
allusion;allusion;0;0;0;0;0;0;0;0;0;0
alluvial;alluvial;0;0;0;0;0;0;0;0;0;0
ally;alliera;1;0;0;0;0;0;0;0;0;1
almanac;almanacka;0;0;0;0;0;0;0;0;0;0
almighty;allsmäktig;1;0;0;0;0;0;0;0;0;0
aloft;högt upp;0;0;0;0;0;0;0;0;0;0
aloha;aloha;1;0;0;1;0;0;1;0;0;0
alongside;vid sidan av;0;0;0;0;0;0;0;0;0;0
aloof;på avstånd;0;1;0;0;0;0;0;0;0;0
aloud;högt;0;0;0;0;0;0;0;0;0;0
alphabet;alfabet;0;0;0;0;0;0;0;0;0;0
alphabetical;alfabetisk;0;0;0;0;0;0;0;0;0;0
altar;altare;0;0;0;0;0;0;0;0;0;0
alter;ändra;0;0;0;0;0;0;0;0;0;0
alteration;ändring;0;0;0;0;0;0;0;0;0;0
altercation;gräl;0;1;1;0;0;0;0;0;0;0
altered;förändrad;0;0;0;0;0;0;0;0;0;0
alternate;alternativ;0;0;0;0;0;0;0;0;0;0
alternative;alternativ;0;0;0;0;0;0;0;0;0;0
altitude;höjd över havet;0;0;0;0;0;0;0;0;0;0
alto;alt-;0;0;0;0;0;0;0;0;0;0
altogether;sammanlagt;0;0;0;0;0;0;0;0;0;0
alumnus;alumn;0;0;0;0;0;0;0;0;0;0
alveolar;alveolär;0;0;0;0;0;0;0;0;0;0
amalgam;amalgam;0;0;0;0;0;0;0;0;0;0
amalgamation;sammanslagning;0;0;0;0;0;0;0;0;0;0
amass;samla;0;0;0;0;0;0;0;0;0;0
amateur;amatör-;0;0;0;0;0;0;0;0;0;0
amaze;förvåna;0;0;0;0;0;0;0;0;1;0
amazement;häpnad;0;0;0;0;0;0;0;0;0;0
amazingly;otro;1;0;0;0;0;0;1;0;1;0
ambassador;ambassadör;1;0;0;0;0;0;0;0;0;1
amber;bärnsten;0;0;0;0;0;0;0;0;0;0
ambient;omgivande;0;0;0;0;0;0;0;0;0;0
ambiguity;tvetydighet;0;0;0;0;0;0;0;0;0;0
ambiguous;tvetydig;0;1;0;0;0;0;0;0;0;0
ambit;omfång;0;0;0;0;0;0;0;0;0;0
ambition;ambition;1;0;0;1;0;0;1;0;0;1
ambitious;ambitiös;0;0;0;0;0;0;0;0;0;0
ambulance;ambulans;0;0;0;0;0;1;0;0;0;1
ambush;bakhåll;0;1;1;0;0;1;0;0;1;0
ameliorate;förbättra;1;0;0;0;0;0;0;0;0;0
amen;amen;1;0;0;0;0;0;1;0;0;1
amenable;mottaglig;1;0;0;0;0;0;0;0;0;0
amend;ändra;1;0;0;0;0;0;0;0;0;0
amendment;ändring;0;0;0;0;0;0;0;0;0;0
amends;gottgörelse;1;0;0;0;0;0;0;0;0;0
amenity;rekreationsområden;1;0;0;0;0;0;0;0;0;0
amethyst;ametist;0;0;0;0;0;0;0;0;0;0
amiable;älskvärd;1;0;0;0;0;0;0;0;0;0
amicable;vänskaplig;1;0;0;0;0;0;1;0;0;0
amid;mitt i;0;0;0;0;0;0;0;0;0;0
amidst;mitt i;0;0;0;0;0;0;0;0;0;0
ammonia;ammoniak;0;0;0;0;1;0;0;0;0;0
ammunition;ammunition;0;0;0;0;0;0;0;0;0;0
amnesia;amnesi;0;1;0;0;0;0;0;0;0;0
amnesty;amnesti;1;0;0;0;0;0;1;0;0;0
amorphous;amorf;0;0;0;0;0;0;0;0;0;0
amortization;amortering;0;0;0;0;0;0;0;0;0;1
amount;belopp;0;0;0;0;0;0;0;0;0;0
amour;amour;1;0;0;1;0;0;1;0;0;1
ampersand;et-tecken;0;0;0;0;0;0;0;0;0;0
amphetamines;amfetamin;0;1;0;0;1;0;0;0;0;0
amphibian;amfibie;0;0;0;0;0;0;0;0;0;0
amphibious;amfibisk;0;0;0;0;0;0;0;0;0;0
amphitheater;amfiteater;0;0;0;0;0;0;0;0;0;0
amplification;förstärkning;0;0;0;0;0;0;0;0;0;0
amplify;förstärka;0;0;0;0;0;0;0;0;0;0
amplitude;amplitud;0;0;0;0;0;0;0;0;0;0
amply;rikligt;0;0;0;0;0;0;0;0;0;0
amputation;amputation;0;0;0;0;0;0;0;0;0;0
amulet;amulett;0;0;0;0;0;0;0;0;0;0
amuse;roa;1;0;0;0;0;0;1;0;0;0
